"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","名称_通称","POIコード","外部識別子","外部識別子の値","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","電話番号","内線番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能時間特記事項","説明","車椅子可","車椅子貸出","ツエ貸出","バリアフリートイレ","スロープ、エレベータ、エスカレータ","点字ブロック等の移動支援","点字や読上による支援","盲導犬・介助犬、聴導犬同伴","字幕","筆談対応","優先駐車場","オストメイト対応トイレ","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","URL","画像","画像_ライセンス","備考"
"131199","131199000014","板橋区","舟渡斎場","","","","","","","","131199","東京都板橋区舟渡4-14-6","東京都","板橋区","舟渡4丁目","14-6","","35.795578","139.678779","","","(03)3967-6420","","","","","1740041","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/003/003926.html","","",""
"131199","131199000015","板橋区","消費者センター","","","","","","","","131199","東京都板橋区板橋2-65-6","東京都","板橋区","板橋2丁目","65-6","","35.749957","139.708799","","","(03)3579-2266","","","","","1730004","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/003/003927.html","","",""
"131199","131199000016","板橋区","ハイライフプラザいたばし","","","","","","","","131199","東京都板橋区板橋1-55-16","東京都","板橋区","板橋1丁目","55-16","","35.747508","139.720588","","","(03)5375-8102","","","","","1730004","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/006/006230.html","","",""
"131199","131199000017","板橋区","企業活性化センター","","","","","","","","131199","東京都板橋区舟渡1-13-10","東京都","板橋区","舟渡1丁目","13-10","","35.792","139.69088","","","(03)5914-3145","","","","","1740041","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/010/010801.html","","",""
"131199","131199000018","板橋区","南部土木サービスセンター","","","","","","","","131199","東京都板橋区常盤台3-27-1","東京都","板橋区","富士見3丁目","1","","35.760967","139.701527","","","(03)3579-2508","","","","","1740062","","","","","","","","","","","","","","","","","","","","","","","","","https://www.city.itabashi.tokyo.jp/kusei/soshiki/doboku/1007034.html","","",""
"131199","131199000019","板橋区","北部土木サービスセンター","","","","","","","","131199","東京都板橋区新河岸1-9-8","東京都","板橋区","新河岸1丁目","9-8","","35.794712","139.667851","","","(03)5398-7333","","","","","1750081","","","","","","","","","","","","","","","","","","","","","","","","","https://www.city.itabashi.tokyo.jp/kusei/soshiki/doboku/1007034.html","","",""
"131199","131199000020","板橋区","区民相談室","","","","","","","","131199","東京都板橋区板橋2-65-6　板橋区情報処理センター４階","東京都","板橋区","板橋2丁目","65-6　板橋区情報処理センター4階","","35.749852","139.708884","","","(03)3579-2288","","","","","1730004","","","","","","","","","","","","","","","","","","","","","","","","","https://www.city.itabashi.tokyo.jp/tetsuduki/soudan/kumin/1002130.html","","",""
"131199","131199000021","板橋区","仲宿地域センター","","","","","","","","131199","東京都板橋区氷川町12-10","東京都","板橋区","氷川町","12-10","","35.753955","139.707143","","","(03)3963-1621","","","","","1730013","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000022","板橋区","富士見地域センター","","","","","","","","131199","東京都板橋区富士見町3-1","東京都","板橋区","富士見町","3-1","","35.760702","139.700505","","","(03)3962-9281","","","","","1740062","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000023","板橋区","大谷口地域センター","","","","","","","","131199","東京都板橋区大谷口2-12-5","東京都","板橋区","大谷口2丁目","12-5","","35.74579","139.689008","","","(03)3959-4130","","","","","1730035","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000024","板橋区","清水地域センター","","","","","","","","131199","東京都板橋区泉町16-16","東京都","板橋区","泉町","16-16","","35.766394","139.702217","","","(03)3969-7564","","","","","1740055","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000025","板橋区","舟渡地域センター","","","","","","","","131199","東京都板橋区舟渡3-19-8","東京都","板橋区","舟渡3丁目","19-8","","35.794366","139.6809","","","(03)3558-4193","","","","","1740041","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000026","板橋区","前野地域センター","","","","","","","","131199","東京都板橋区前野町4-6-1","東京都","板橋区","前野町4丁目","6-1","","35.769191","139.688795","","","(03)3969-0307","","","","","1740063","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000027","板橋区","徳丸地域センター","","","","","","","","131199","東京都板橋区徳丸3-35-15","東京都","板橋区","徳丸3丁目","35-15","","35.773717","139.659471","","","(03)3932-5370","","","","","1750083","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000028","板橋区","蓮根地域センター","","","","","","","","131199","東京都板橋区坂下2-18-1","東京都","板橋区","坂下2丁目","18-1","","35.782607","139.680805","","","(03)3969-5723","","","","","1740043","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000029","板橋区","常盤台地域センター","","","","","","","","131199","東京都板橋区常盤台4-14-1","東京都","板橋区","常盤台4丁目","14-1","","35.763507","139.679614","","","(03)3559-6560","","","","","1740071","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000030","板橋区","熊野地域センター","","","","","","","","131199","東京都板橋区熊野町40-9","東京都","板橋区","熊野町","40-9","","35.743626","139.704427","","","(03)3959-4115","","","","","1730025","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000031","板橋区","中台地域センター","","","","","","","","131199","東京都板橋区中台1-44-8","東京都","板橋区","中台1丁目","44-8","","35.767743","139.676657","","","(03)3932-9990","","","","","1740064","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000032","板橋区","成増地域センター（アクトホール）","","","","","","","","131199","東京都板橋区成増3-11-3-405","東京都","板橋区","成増3丁目","11-3-405","","35.778198","139.633422","","","(03)5998-6881","","","","","1750094","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000033","板橋区","板橋地域センター","","","","","","","","131199","東京都板橋区板橋3-14-15","東京都","板橋区","板橋3丁目","14-15","","35.751194","139.712219","","","(03)3963-5049","","","","","1730004","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000034","板橋区","仲町地域センター","","","","","","","","131199","東京都板橋区仲町20-5","東京都","板橋区","仲町","20-5","","35.751066","139.696504","","","(03)3958-1101","","","","","1730022","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000035","板橋区","桜川地域センター","","","","","","","","131199","東京都板橋区東新町2-45-6","東京都","板橋区","東新町2丁目","45-6","","35.7524","139.681757","","","(03)3974-3180","","","","","1740074","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000036","板橋区","下赤塚地域センター","","","","","","","","131199","東京都板橋区赤塚6-38-1","東京都","板橋区","赤塚6丁目","38-1","","35.778729","139.644623","","","(03)3938-5116","","","","","1750092","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000037","板橋区","高島平地域センター","","","","","","","","131199","東京都板橋区高島平3-12-28","東京都","板橋区","高島平3丁目","12-28","","35.787149","139.658808","","","(03)3938-1392","","","","","1750082","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000038","板橋区","志村坂上地域センター","","","","","","","","131199","東京都板橋区小豆沢2-19-15","東京都","板橋区","小豆沢2丁目","19-15","","35.776664","139.696023","","","(03)3969-7577","","","","","1740051","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000039","板橋区","教育科学館","","","","","","","","131199","東京都板橋区常盤台4-14-1","東京都","板橋区","常盤台4丁目","14-1","","35.763381","139.679554","","","(03)3559-6561","","","","","1740071","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000040","板橋区","美術館","","","","","","","","131199","東京都板橋区赤塚5-34-27","東京都","板橋区","赤塚5丁目","34-27","","35.784199","139.644556","","","(03)3979-3251","","","","","1750092","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000041","板橋区","郷土資料館","","","","","","","","131199","東京都板橋区赤塚5-35-25","東京都","板橋区","赤塚5丁目","35-25","","35.785566","139.643148","","","(03)5998-0081","","","","","1750092","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000042","板橋区","郷土芸能伝承館","","","","","","","","131199","東京都板橋区徳丸6-29-13","東京都","板橋区","徳丸6丁目","29-13","","35.778367","139.660701","","","(03)5398-4711","","","","","1750083","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000043","板橋区","植村冒険館","","","","","","","","131199","東京都板橋区加賀1-10-5","東京都","板橋区","加賀1丁目","10-5","","35.753626","139.71573","","","(03)3969-7421","","","","","1740046","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000044","板橋区","いたばしボローニャ子ども絵本館(中央図書館併設)","","","","","","","","131199","東京都板橋区常盤台4-3-1","東京都","板橋区","常盤台4丁目","3-1","","35.762844","139.681613","","","(03)6281-0560","","","","","1740071","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000045","板橋区","少年自然の家八ケ岳荘","","","","","","","","203629","長野県諏訪郡富士見町立沢字広原1-1322","長野県","諏訪郡富士見町","立沢","字広原1-1322","","35.95633","138.288823","","","(0266)66-2323","","","","","3990212","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000046","板橋区","リサイクルプラザ","","","","","","","","131199","東京都板橋区舟渡４-16-6","東京都","板橋区","舟渡4丁目","16-6","","35.795789","139.675873","","","(03)3558-5374","","","","","1740041","","","","","","","","","","","","","","","","","","","","","","","","","https://itapla.com/","","",""
"131199","131199000047","板橋区","エコポリスセンター","","","","","","","","131199","東京都板橋区前野町4-6-1","東京都","板橋区","前野町4丁目","6-1","","35.769235","139.688626","","","(03)5970-5001","","","","","1740063","","","","","","","","","","","","","","","","","","","","","","","","","https://itbs-ecopo.jp/","","",""
"131199","131199000048","板橋区","昆虫公園","","","","","","","","131199","東京都板橋区徳丸 3-37-9","東京都","板橋区","徳丸3丁目","37-9","","35.774946","139.659378","","","(03)3937-5983","","","","","1750083","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000049","板橋区","こども動物園","","","","","","","","131199","東京都板橋区板橋3-50-1（東板橋公園内）","東京都","板橋区","板橋3丁目","50-1","","35.754177","139.712558","","","","","","","","1730004","","","","","","","","","","","","","","","","","","","","","","","","","https://www.city.itabashi.tokyo.jp/bousai/kouen/kouen/doubutsuen/1006627.html","","",""
"131199","131199000050","板橋区","こども動物園高島平分園","","","","","","","","131199","東京都板橋区高島平8-24-1","東京都","板橋区","高島平8丁目","24-1","","35.79149","139.661138","","","","","","","","1750082","","","","","","","","","","","","","","","","","","","","","","","","","https://www.city.itabashi.tokyo.jp/bousai/kouen/kouen/doubutsuen/1006625.html","","",""
"131199","131199000051","板橋区","熱帯環境植物館（グリーンドームねったいかん）","","","","","","","","131199","東京都板橋区高島平8-29-2","東京都","板橋区","高島平8丁目","29-2","","35.791919","139.664007","","","(03)5920-1131","","","","","1750082","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000052","板橋区","赤塚植物園","","","","","","","","131199","東京都板橋区赤塚5-17-14","東京都","板橋区","赤塚5丁目","17-14","","35.78051","139.644075","","","(03)3975-9127","","","","","1750092","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000053","板橋区","西台粗大ごみセンター","","","","","","","","131199","東京都板橋区西台2-39-11","東京都","板橋区","西台2丁目","39-11","","35.781186","139.665793","","","(03)3935-2652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000054","板橋区","志村清掃事業所","","","","","","","","131199","東京都板橋区東坂下2-7-16","東京都","板橋区","東坂下2丁目","7-16","","35.785416","139.68946","","","(03)3966-9401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000055","板橋区","板橋西清掃事務所","","","","","","","","131199","東京都板橋区徳丸1-16-1","東京都","板橋区","徳丸1丁目","16-1","","35.769201","139.666662","","","(03)3936-7441","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000056","板橋区","板橋東清掃事務所","","","","","","","","131199","東京都板橋区東坂下2-20-9","東京都","板橋区","東坂下2丁目","20-9","","35.787808","139.685244","","","(03)3969-3721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000057","板橋区","板橋福祉事務所","","","","","","","","131199","東京都板橋区栄町36-1　グリーンホール２・３階","東京都","板橋区","栄町","36-1 グリーンホール2・3階","","35.750752","139.70493","","","(03)3579-2451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000058","板橋区","三園福祉園","","","","","","","","131199","東京都板橋区三園2-9-16","東京都","板橋区","三園2丁目","9-16","","35.793224","139.640618","","","(03)5383-9587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000059","板橋区","赤塚福祉事務所","","","","","","","","131199","東京都板橋区赤塚6-38-1","東京都","板橋区","赤塚6丁目","38-1","","35.778596","139.644963","","","(03)3938-5117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000060","板橋区","保健福祉オンブズマン室","","","","","","","","131199","東京都板橋区板橋2-65-6　板橋区情報処理センター４階","東京都","板橋区","板橋2丁目","65-6 板橋区情報処理センター4階","","35.750014","139.708757","","","(03)3579-2890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000061","板橋区","おとしより保健福祉センター","","","","","","","","131199","東京都板橋区前野町4-16-1","東京都","板橋区","前野町4丁目","16-1","","35.771547","139.689783","","","(03)5970-1111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000062","板橋区","志村福祉事務所","","","","","","","","131199","東京都板橋区蓮根2-28-1","東京都","板橋区","蓮根2丁目","28-1","","35.785241","139.675134","","","(03)3968-2331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000063","板橋区","徳丸福祉園","","","","","","","","131199","東京都板橋区徳丸 3-41-16","東京都","板橋区","徳丸3丁目","41-16","","35.775612","139.65627","","","(03)3935-7213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000064","板橋区","小豆沢福祉園","","","","","","","","131199","東京都板橋区東坂下1-4-9","東京都","板橋区","東坂下1丁目","4-9","","35.781156","139.694685","","","(03)3969-5131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000065","板橋区","赤塚福祉園","","","","","","","","131199","東京都板橋区赤塚6-19-14","東京都","板橋区","赤塚6丁目","19-14","","35.777077","139.645123","","","(03)5383-5741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000066","板橋区","前野福祉園","","","","","","","","131199","東京都板橋区前野町4-16-1","東京都","板橋区","前野町4丁目","16-1","","35.77144","139.689973","","","(03)5392-8731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000067","板橋区","蓮根福祉園","","","","","","","","131199","東京都板橋区坂下2-8-1-101","東京都","板橋区","坂下2丁目","8-1-101","","35.781512","139.683153","","","(03)5392-0761","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000068","板橋区","小茂根福祉園","","","","","","","","131199","東京都板橋区小茂根3-12-21","東京都","板橋区","小茂根3丁目","12-21","","35.750366","139.678814","","","(03)3958-8831","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000069","板橋区","加賀福祉園","","","","","","","","131199","東京都板橋区加賀1-7-2","東京都","板橋区","加賀1丁目","7-2","","35.754215","139.718668","","","(03)3579-2366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000070","板橋区","高島平福祉園分場","","","","","","","","131199","東京都板橋区高島平9-1-8-201","東京都","板橋区","高島平9丁目","1-8-201","","35.787823","139.671744","","","(03)5399-7170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000071","板橋区","高島平福祉園","","","","","","","","131199","東京都板橋区高島平9-25-12","東京都","板橋区","高島平9丁目","25-12","","35.79054","139.668147","","","(03)3550-3403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000072","板橋区","障がい者福祉センター","","","","","","","","131199","東京都板橋区高島平9-25-12","東京都","板橋区","高島平9丁目","25-12","","35.790382","139.668124","","","(03)3550-3401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000073","板橋区","高島平健康福祉センター","","","","","","","","131199","東京都板橋区高島平3-13-28","東京都","板橋区","高島平3丁目","13-28","","35.788111","139.659289","","","(03)3938-8621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_sections/takakc/index.html","","",""
"131199","131199000074","板橋区","上板橋健康福祉センター","","","","","","","","131199","東京都板橋区桜川3-18-6","東京都","板橋区","桜川3丁目","18-6","","35.76013","139.675441","","","(03)3937-1041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_sections/kamikc/index.html","","",""
"131199","131199000075","板橋区","赤塚健康福祉センター","","","","","","","","131199","東京都板橋区赤塚1-10-13","東京都","板橋区","赤塚1丁目","10-13","","35.772143","139.647064","","","(03)3979-0511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_sections/akakc/index.html","","",""
"131199","131199000076","板橋区","志村健康福祉センター","","","","","","","","131199","東京都板橋区蓮根2-5-5","東京都","板橋区","蓮根2丁目","5-5","","35.781164","139.67716","","","(03)3969-3836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_sections/shikc/index.html","","",""
"131199","131199000077","板橋区","板橋健康福祉センター","","","","","","","","131199","東京都板橋区大山東町３２－１５","東京都","板橋区","大山東町","32-15","","35.750636","139.708061","","","(03)3579-2333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_sections/itakc/index.html","","",""
"131199","131199000078","板橋区","板橋区保健所","","","","","","","","131199","東京都板橋区大山東町３２－１５","東京都","板橋区","大山東町","32-15","","35.750555","139.708102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/009/009051.html","","",""
"131199","131199000079","板橋区","仲町ふれあい館","","","","","","","","131199","東京都板橋区仲町20-5","東京都","板橋区","仲町","20-5","","35.751092","139.696298","","","(03)3958-0163","","","","","1730022","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/001/001969.html","","",""
"131199","131199000080","板橋区","中台ふれあい館","","","","","","","","131199","東京都板橋区中台2-14-1","東京都","板橋区","中台2丁目","14-1","","35.769974","139.680351","","","(03)3934-2940","","","","","1740064","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/001/001969.html","","",""
"131199","131199000081","板橋区","徳丸ふれあい館","","","","","","","","131199","東京都板橋区徳丸2-12-12","東京都","板橋区","徳丸2丁目","12-12","","35.772043","139.66047","","","(03)3934-8627","","","","","1750083","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/001/001969.html","","",""
"131199","131199000082","板橋区","高島平ふれあい館","","","","","","","","131199","東京都板橋区高島平8-29-1","東京都","板橋区","高島平8丁目","29-1","","35.791914","139.664511","","","(03)3935-1775","","","","","1750082","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/001/001969.html","","",""
"131199","131199000083","板橋区","志村ふれあい館","","","","","","","","131199","東京都板橋区志村3-32-6","東京都","板橋区","志村3丁目","32-6","","35.778989","139.69027","","","(03)3960-5885","","","","","1740056","","","","","","","","","","","","","","","","","","","","","","","","","http://www.city.itabashi.tokyo.jp/c_kurashi/001/001969.html","","",""
"131199","131199000084","板橋区","洋弓場","","","","","","","","","東京都板橋区東坂下　2-21","東京都","板橋区","東坂下","2-21","","35.788595","139.686046","","","(03)3965-4234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000085","板橋区","和弓場","","","","","","","","","東京都板橋区小豆沢3-1-1","東京都","板橋区","小豆沢3丁目","1-1","","35.778412","139.694905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000086","板橋区","荒川戸田橋陸上競技場","","","","","","","","","東京都板橋区舟渡4-7先","東京都","板橋区","舟渡","4-7先","","35.798062","139.671844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000087","板橋区","新河岸陸上競技場","","","","","","","","","東京都板橋区新河岸3-1-3","東京都","板橋区","新河岸3丁目","1-3","","35.795791","139.657816","","","(03)3939-7910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000088","板橋区","東板橋公園運動場","","","","","","","","","東京都板橋区板橋3-50-1","東京都","板橋区","板橋3丁目","50-1","","35.754258","139.713599","","","(03)3962-3708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000089","板橋区","高島平温水プール","","","","","","","","","東京都板橋区高島平8-28-1","東京都","板橋区","高島平8丁目","28-1","","35.791557","139.66433","","","(03)3932-5348","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000090","板橋区","赤塚体育館","","","","","","","","","東京都板橋区赤塚5-6-1","東京都","板橋区","赤塚5丁目","6-1","","35.777842","139.641779","","","(03)3938-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000091","板橋区","上板橋体育館","","","","","","","","","東京都板橋区桜川1-3-1","東京都","板橋区","桜川1丁目","3-1","","35.757126","139.67554","","","(03)5399-6501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000092","板橋区","植村記念加賀スポーツセンター（旧東板橋体育館）","","","","","","","","","東京都板橋区加賀1-10-5","東京都","板橋区","加賀1丁目","10-5","","35.753814","139.71557","","","(03)3579-2626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000093","板橋区","小豆沢体育館","","","","","","","","","東京都板橋区小豆沢3-1-1","東京都","板橋区","小豆沢3丁目","1-1","","35.778509","139.698248","","","(03)3969-4166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000094","板橋区","荒川戸田橋サッカー場Ｃ面","","","","","","","","","東京都板橋区舟渡2-26先","東京都","板橋区","舟渡","2-26先","","35.798856","139.68736","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131199","131199000095","板橋区","荒川戸田橋サッカー場A面","","","","","","","","","東京都板橋区舟渡2-26先","東京都","板橋区","舟渡","2-26先","","35.797646","139.68712","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
